region,site,survey_year,species,life_stage,count
Upper Bay,U1,2024,atlantic cod,juvenile,42
Upper Bay,U1,2024,atlantic cod,adult,12
Upper Bay,U1,2024,haddock,juvenile,18
Upper Bay,U1,2024,haddock,adult,8
Upper Bay,U1,2024,pollock,juvenile,65
Upper Bay,U1,2024,pollock,adult,21
Upper Bay,U2,2024,atlantic cod,juvenile,35
Upper Bay,U2,2024,atlantic cod,adult,10
Upper Bay,U2,2024,haddock,adult,6
Upper Bay,U2,2024,pollock,juvenile,48
Upper Bay,U2,2024,pollock,adult,16
Upper Bay,U3,2024,atlantic cod,juvenile,27
Upper Bay,U3,2024,atlantic cod,adult,9
Upper Bay,U3,2024,haddock,juvenile,14
Upper Bay,U3,2024,haddock,adult,5
Upper Bay,U3,2024,pollock,juvenile,39
Upper Bay,U3,2024,pollock,adult,13
Upper Bay,U1,2025,atlantic cod,juvenile,46
Upper Bay,U1,2025,atlantic cod,adult,14
Upper Bay,U1,2025,haddock,juvenile,20
Upper Bay,U1,2025,haddock,adult,9
Upper Bay,U1,2025,pollock,juvenile,70
Upper Bay,U1,2025,pollock,adult,24
Upper Bay,U2,2025,atlantic cod,juvenile,38
Upper Bay,U2,2025,atlantic cod,adult,11
Upper Bay,U2,2025,haddock,juvenile,16
Upper Bay,U2,2025,haddock,adult,7
Upper Bay,U2,2025,pollock,juvenile,53
Upper Bay,U2,2025,pollock,adult,18
Upper Bay,U3,2025,atlantic cod,juvenile,30
Upper Bay,U3,2025,atlantic cod,adult,10
Upper Bay,U3,2025,haddock,juvenile,15
Upper Bay,U3,2025,haddock,adult,6
Upper Bay,U3,2025,pollock,juvenile,44
Upper Bay,U3,2025,pollock,adult,15
Lower Bay,L1,2024,atlantic cod,juvenile,24
Lower Bay,L1,2024,atlantic cod,adult,18
Lower Bay,L1,2024,haddock,juvenile,11
Lower Bay,L1,2024,haddock,adult,13
Lower Bay,L1,2024,pollock,juvenile,31
Lower Bay,L1,2024,pollock,adult,27
Lower Bay,L2,2024,atlantic cod,juvenile,20
Lower Bay,L2,2024,atlantic cod,adult,16
Lower Bay,L2,2024,haddock,juvenile,9
Lower Bay,L2,2024,haddock,adult,12
Lower Bay,L2,2024,pollock,juvenile,28
Lower Bay,L2,2024,pollock,adult,25
Lower Bay,L3,2024,atlantic cod,juvenile,17
Lower Bay,L3,2024,atlantic cod,adult,15
Lower Bay,L3,2024,haddock,juvenile,8
Lower Bay,L3,2024,haddock,adult,10
Lower Bay,L3,2024,pollock,juvenile,24
Lower Bay,L1,2025,atlantic cod,juvenile,26
Lower Bay,L1,2025,atlantic cod,adult,20
Lower Bay,L1,2025,haddock,juvenile,12
Lower Bay,L1,2025,haddock,adult,15
Lower Bay,L1,2025,pollock,juvenile,35
Lower Bay,L1,2025,pollock,adult,30
Lower Bay,L2,2025,atlantic cod,juvenile,22
Lower Bay,L2,2025,atlantic cod,adult,18
Lower Bay,L2,2025,haddock,juvenile,10
Lower Bay,L2,2025,haddock,adult,13
Lower Bay,L2,2025,pollock,juvenile,31
Lower Bay,L2,2025,pollock,adult,27
Lower Bay,L3,2025,atlantic cod,juvenile,19
Lower Bay,L3,2025,atlantic cod,adult,16
Lower Bay,L3,2025,haddock,juvenile,9
Lower Bay,L3,2025,haddock,adult,11
Lower Bay,L3,2025,pollock,juvenile,27
Lower Bay,L3,2025,pollock,adult,24
